F102 args=0.0927,-0.0153,-1.0192,1.2959,-0.0901,0.0000,0.0000,0.0000 parentR=-0.081,-0.000,-0.997,0.000,1.000,0.000,0.997,0.000,-0.081 parentT=0.000,-1.239,5.363
F102 args=0.0925,0.0000,-1.0738,1.2215,-0.0966,0.0000,0.0000,0.0000 parentR=-0.081,-0.000,-0.997,0.000,1.000,0.000,0.997,0.000,-0.081 parentT=0.000,-1.239,5.363
F102 args=0.0926,0.0000,-1.1217,1.1424,-0.1023,0.0000,0.0000,0.0000 parentR=-0.081,-0.000,-0.997,0.000,1.000,0.000,0.997,0.000,-0.081 parentT=0.000,-1.239,5.363
F102 args=0.0981,0.0000,-1.1641,1.0541,-0.1074,0.0000,0.0000,0.0000 parentR=-0.081,-0.000,-0.997,0.000,1.000,0.000,0.997,0.000,-0.081 parentT=0.000,-1.239,5.363
F102 args=0.0981,0.0000,-1.1976,0.9620,-0.1114,0.0000,0.0000,0.0000 parentR=-0.081,-0.000,-0.997,0.000,1.000,0.000,0.997,0.000,-0.081 parentT=0.000,-1.239,5.363
F102 args=0.0927,-0.0153,-1.0190,1.2961,0.0890,0.0000,0.0000,0.0000 parentR=-0.081,-0.000,-0.997,0.000,1.000,0.000,0.997,0.000,-0.081 parentT=0.000,-1.239,5.363
F102 args=0.0925,0.0000,-1.0737,1.2218,0.0955,0.0000,0.0000,0.0000 parentR=-0.081,-0.000,-0.997,0.000,1.000,0.000,0.997,0.000,-0.081 parentT=0.000,-1.239,5.363
F102 args=0.0926,0.0000,-1.1216,1.1427,0.1012,0.0000,0.0000,0.0000 parentR=-0.081,-0.000,-0.997,0.000,1.000,0.000,0.997,0.000,-0.081 parentT=0.000,-1.239,5.363
F102 args=0.0981,0.0000,-1.1640,1.0544,0.1063,0.0000,0.0000,0.0000 parentR=-0.081,-0.000,-0.997,0.000,1.000,0.000,0.997,0.000,-0.081 parentT=0.000,-1.239,5.363
F102 args=0.0981,0.0000,-1.1975,0.9623,0.1103,0.0000,0.0000,0.0000 parentR=-0.081,-0.000,-0.997,0.000,1.000,0.000,0.997,0.000,-0.081 parentT=0.000,-1.239,5.363
