Deterministic 2P Pai-vs-Jacky match, frame 1200. mame2010 vs upstream MAME.
Body parts (467xx) match -> same state+camera. Braid (471xx) + head + Jacky(47bxx) diverge.

obj     | mame2010 T(x,y,z)        | upstream T(x,y,z)         | Yrow_m2010 | Yrow_upstr | match?
41647 | (+0.00,-1.24,+5.36) | (+0.00,-1.24,+5.36) | 0.00,1.00,0.00 | 0.00,1.00,0.00 | YES
41751 | (+0.00,-1.24,+5.36) | (+0.00,-1.24,+5.36) | 0.00,1.00,0.00 | 0.00,1.00,0.00 | YES
418c1 | (+0.00,-1.24,+5.36) | (+0.00,-1.24,+5.36) | 0.00,1.00,0.00 | 0.00,1.00,0.00 | YES
41da5 | (+0.00,-2.48,+10.73) | (+0.30,-1.74,+5.76) | 0.00,1.00,0.00 | 0.00,0.00,0.00 | NO
467ca | (-1.44,-1.10,+5.47) | (-1.44,-1.10,+5.47) | 0.00,1.00,0.00 | 0.00,1.00,0.00 | YES
467f0 | (-0.72,-1.10,+5.22) | (-0.72,-1.10,+5.22) | 0.00,1.00,0.00 | 0.00,1.00,0.00 | YES
46816 | (-1.12,-0.25,+5.34) | (-1.12,-0.28,+5.34) | 0.00,1.00,0.00 | 0.00,1.00,0.00 | YES
4681c | (-1.17,-0.78,+5.59) | (-1.15,-0.80,+5.61) | -0.73,-0.60,0.33 | -0.68,-0.65,0.34 | YES
4686f | (-0.73,-0.66,+5.28) | (-0.71,-0.66,+5.28) | -0.99,0.01,-0.12 | -0.99,-0.04,-0.13 | YES
46b6c | (-1.14,+0.00,+5.52) | (-1.14,-0.03,+5.51) | -0.96,0.22,-0.20 | -0.97,0.19,-0.18 | YES
46bb1 | (-0.91,-0.04,+5.27) | (-0.91,-0.08,+5.26) | -0.70,0.71,-0.04 | -0.78,0.62,-0.07 | NO
46bf6 | (-1.12,-0.25,+5.34) | (-1.12,-0.28,+5.34) | -1.00,-0.00,-0.00 | -1.00,-0.00,-0.00 | YES
46c4c | (-1.19,-0.44,+5.40) | (-1.19,-0.47,+5.40) | -0.86,0.38,0.33 | -0.83,0.44,0.34 | NO
46c99 | (-1.05,-0.44,+5.29) | (-1.05,-0.47,+5.29) | -0.57,0.81,-0.12 | -0.48,0.87,-0.13 | NO
46ce6 | (-1.12,-0.25,+5.34) | (-1.12,-0.28,+5.34) | 0.88,0.46,0.13 | 0.88,0.45,0.13 | YES
46e81 | (-1.09,-0.24,+5.46) | (-1.10,-0.27,+5.46) | -0.03,0.98,-0.20 | 0.10,0.98,-0.18 | NO
46eae | (-0.76,-0.22,+5.36) | (-0.77,-0.27,+5.34) | 0.89,0.46,-0.04 | 0.81,0.58,-0.07 | NO
47181 | (-1.02,-1.25,+5.35) | (-1.02,+0.13,+5.50) | -0.00,1.00,0.00 | 0.01,0.79,-0.61 | NO
4718f | (-1.02,-1.25,+5.35) | (-1.03,+0.13,+5.33) | -0.00,1.00,0.00 | 0.01,0.79,-0.61 | NO
4719d | (-1.08,-1.24,+5.36) | (-1.08,+0.05,+5.50) | -0.00,1.00,0.00 | 0.12,0.14,-0.98 | NO
471ab | (-1.08,-1.24,+5.36) | (-1.09,+0.05,+5.33) | -0.00,1.00,0.00 | 0.26,0.94,-0.23 | NO
471b9 | (-1.13,-1.24,+5.36) | (-1.15,+0.04,+5.45) | -0.00,1.00,0.00 | 0.35,0.80,-0.49 | NO
471c7 | (-1.13,-1.24,+5.36) | (-1.11,-0.03,+5.31) | -0.00,1.00,0.00 | 0.25,0.94,-0.23 | NO
471d5 | (-1.17,-1.24,+5.36) | (-1.20,-0.03,+5.41) | -0.00,1.00,0.00 | 0.23,0.93,-0.30 | NO
471e3 | (-1.17,-1.24,+5.36) | (-1.13,-0.12,+5.29) | -0.00,1.00,0.00 | 0.18,0.97,-0.19 | NO
471f1 | (-1.20,-1.24,+5.36) | (-1.23,-0.12,+5.39) | -0.00,1.00,0.00 | 0.14,0.96,-0.23 | NO
47205 | (-1.20,-1.24,+5.36) | (-1.15,-0.21,+5.27) | -0.00,1.00,0.00 | 0.09,0.99,-0.14 | NO
47b6e | (-1.44,-1.24,+5.47) | (-1.35,-1.24,+5.58) | 0.00,0.00,0.00 | 0.00,0.00,0.00 | NO
