Deterministic 2P Pai-vs-Jacky match, frame 1200. mame2010 vs upstream MAME.
Body parts (467xx) match -> same state+camera. Braid (471xx) + head + Jacky(47bxx) diverge.

obj     | mame2010 T(x,y,z)        | upstream T(x,y,z)         | Yrow_m2010 | Yrow_upstr | match?
47b79 | (+0.72,-1.24,+5.51) | (+0.81,-1.24,+5.62) | 0.00,0.00,0.00 | 0.00,0.00,0.00 | NO
47b84 | (+1.09,-1.24,+5.36) | (+1.74,-1.24,+6.21) | 0.00,0.00,0.00 | 0.00,0.00,0.00 | NO
47b91 | (+1.11,-1.24,+5.18) | (+1.43,-1.24,+5.59) | 0.00,-0.00,0.00 | 0.00,-0.00,0.00 | NO
47b9c | (-0.73,-1.24,+5.28) | (+1.13,-1.24,+5.95) | 0.00,0.00,0.00 | 0.00,0.00,-0.00 | NO
47ba7 | (-0.99,-1.24,+5.42) | (-0.25,-1.24,+6.40) | 0.00,0.00,-0.00 | 0.00,0.00,0.00 | NO
47bb2 | (-1.14,-1.24,+5.52) | (+1.80,-1.24,+6.13) | 0.00,0.00,0.00 | 0.00,0.00,-0.00 | NO
47bbf | (-0.91,-1.24,+5.27) | (-0.21,-1.24,+6.19) | 0.00,0.00,0.00 | 0.00,0.00,0.00 | NO
47bcc | (+1.09,-1.24,+5.36) | (-0.55,-1.24,+6.11) | 0.00,-0.00,0.00 | -0.00,0.00,0.00 | NO
47bd7 | (-1.19,-1.24,+5.40) | (+1.69,-1.24,+6.00) | 0.00,0.00,0.00 | -0.00,0.00,0.00 | NO
47be2 | (-1.05,-1.24,+5.29) | (-0.59,-1.24,+5.90) | 0.00,0.00,0.00 | 0.00,0.00,0.00 | NO
47bed | (-1.12,-1.24,+5.34) | (-0.55,-1.24,+6.11) | 0.00,-0.00,0.00 | 0.00,0.00,0.00 | NO
47c08 | (-0.87,-1.24,+5.44) | (-0.30,-1.24,+6.23) | 0.00,0.00,0.00 | 0.00,0.00,0.00 | NO
47c13 | (-0.68,-1.24,+5.42) | (+0.01,-1.24,+6.33) | 0.00,-0.00,0.00 | 0.00,0.00,0.00 | NO
47c1e | (-1.09,-1.24,+5.46) | (-0.52,-1.24,+6.24) | 0.00,0.00,0.00 | 0.00,0.00,0.00 | NO
47c29 | (-0.76,-1.24,+5.36) | (-0.19,-1.24,+6.11) | 0.00,-0.00,0.00 | 0.00,0.00,0.00 | NO
48aaa | (+1.42,-1.05,+5.24) | (+1.43,-1.06,+5.24) | -0.00,0.98,-0.19 | -0.00,0.99,-0.15 | YES
48ae2 | (+0.72,-1.10,+5.51) | (+0.72,-1.10,+5.51) | 0.00,1.00,0.00 | 0.00,1.00,0.00 | YES
48b19 | (+1.09,-0.18,+5.36) | (+1.10,-0.18,+5.36) | 0.00,1.00,0.00 | 0.00,1.00,0.00 | YES
48b1f | (+1.11,-0.74,+5.18) | (+1.13,-0.74,+5.19) | -0.70,-0.67,0.25 | -0.72,-0.66,0.23 | YES
48b65 | (+0.76,-0.66,+5.49) | (+0.78,-0.66,+5.49) | -0.99,0.10,-0.01 | -0.99,0.14,-0.00 | YES
48d76 | (+1.01,+0.06,+5.09) | (+1.03,+0.06,+5.09) | -0.93,0.34,-0.10 | -0.93,0.37,-0.09 | YES
48db3 | (+0.82,+0.01,+5.53) | (+0.84,+0.01,+5.53) | -0.65,0.73,-0.19 | -0.64,0.74,-0.18 | YES
48df0 | (+1.09,-0.18,+5.36) | (+1.10,-0.18,+5.36) | -1.00,-0.00,-0.00 | -1.00,-0.00,-0.00 | YES
48e3e | (+1.16,-0.37,+5.31) | (+1.17,-0.37,+5.31) | -0.94,0.23,0.25 | -0.95,0.22,0.23 | YES
48e62 | (+1.02,-0.37,+5.42) | (+1.03,-0.37,+5.42) | -0.74,0.67,-0.01 | -0.75,0.67,-0.00 | YES
48e86 | (+1.09,-0.18,+5.36) | (+1.10,-0.18,+5.36) | 0.77,0.63,0.09 | 0.77,0.63,0.09 | YES
49046 | (+0.93,-0.19,+5.13) | (+0.94,-0.19,+5.13) | 0.18,0.98,-0.10 | 0.18,0.98,-0.09 | YES
49074 | (+0.63,-0.16,+5.49) | (+0.64,-0.15,+5.48) | 0.78,0.59,-0.19 | 0.82,0.54,-0.18 | NO
6bb75 | (-0.87,-0.24,+5.44) | (-0.89,-0.25,+5.44) | 0.27,0.94,-0.20 | 0.39,0.90,-0.18 | NO
6cd35 | (-0.68,-0.03,+5.42) | (-0.68,-0.10,+5.42) | 0.98,0.20,-0.03 | 0.94,0.34,-0.06 | NO
716fb | (+0.85,+0.12,+5.29) | (+0.86,+0.12,+5.29) | -0.05,0.03,-1.00 | -0.05,0.02,-1.00 | YES
71d2b | (+0.85,+0.12,+5.29) | (+0.86,+0.12,+5.29) | -0.05,0.03,-1.00 | -0.05,0.02,-1.00 | YES
7ad1b | (-0.99,+0.03,+5.42) | (-0.99,-0.01,+5.41) | -0.20,-0.01,-0.98 | -0.18,-0.00,-0.98 | YES
7b674 | (-0.99,+0.03,+5.42) | (-0.99,-0.01,+5.41) | -0.20,-0.01,-0.98 | -0.18,-0.00,-0.98 | YES
7dca1 | (-0.99,+0.03,+5.42) | (-0.99,-0.01,+5.41) | -0.20,-0.01,-0.98 | -0.18,-0.00,-0.98 | YES
7dd6c | (-0.99,+0.03,+5.42) | (-0.99,-0.01,+5.41) | -0.20,-0.01,-0.98 | -0.18,-0.00,-0.98 | YES
7dd8e | (-0.99,+0.03,+5.42) | (-0.99,-0.01,+5.41) | -0.20,-0.01,-0.98 | -0.18,-0.00,-0.98 | YES
7ddda | (-0.99,+0.03,+5.42) | (-0.99,-0.01,+5.41) | -0.20,-0.01,-0.98 | -0.18,-0.00,-0.98 | YES
7df28 | (-0.99,+0.03,+5.42) | (-0.99,-0.01,+5.41) | -0.20,-0.01,-0.98 | -0.18,-0.00,-0.98 | YES
7e03c | (-0.99,+0.03,+5.42) | (-0.99,-0.01,+5.41) | -0.20,-0.01,-0.98 | -0.18,-0.00,-0.98 | YES
7e052 | (-0.99,+0.03,+5.42) | (-0.99,-0.01,+5.41) | -0.20,-0.01,-0.98 | -0.18,-0.00,-0.98 | YES
7e75c | (+0.85,+0.12,+5.29) | (+0.86,+0.12,+5.29) | -0.05,0.03,-1.00 | -0.05,0.02,-1.00 | YES
7e7b1 | (+0.85,+0.12,+5.29) | (+0.86,+0.12,+5.29) | -0.05,0.03,-1.00 | -0.05,0.02,-1.00 | YES
7e7cc | (+0.85,+0.12,+5.29) | (+0.86,+0.12,+5.29) | -0.05,0.03,-1.00 | -0.05,0.02,-1.00 | YES
7e7eb | (+0.85,+0.12,+5.29) | (+0.86,+0.12,+5.29) | -0.05,0.03,-1.00 | -0.05,0.02,-1.00 | YES
7e86d | (+0.85,+0.12,+5.29) | (+0.86,+0.12,+5.29) | -0.05,0.03,-1.00 | -0.05,0.02,-1.00 | YES
7e8de | (+0.85,+0.12,+5.29) | (+0.86,+0.12,+5.29) | -0.05,0.03,-1.00 | -0.05,0.02,-1.00 | YES
7e8eb | (+0.85,+0.12,+5.29) | (+0.86,+0.12,+5.29) | -0.05,0.03,-1.00 | -0.05,0.02,-1.00 | YES
